mass,z,fov,mlt,age,log_k,teff,lum
11.2,0.01,0.02,2.2,16109260.0,-2.373025,24576.894997,15287.7
11.2,0.01,0.02,2.2,16324840.0,-2.381859,24454.762581,15495.31
11.2,0.01,0.02,2.2,16535520.0,-2.390765,24329.185536,15704.41
11.2,0.01,0.02,2.4,14452960.0,-2.313116,25325.457629,13874.4
11.2,0.01,0.02,2.4,14706510.0,-2.321529,25225.926802,14071.48
11.2,0.01,0.02,2.4,14954490.0,-2.330021,25122.760701,14270.54
11.2,0.01,0.02,2.4,15196490.0,-2.338562,25016.306911,14470.88
11.2,0.01,0.02,2.4,15432310.0,-2.347136,24907.447855,14672.39
11.2,0.01,0.02,2.4,15662600.0,-2.355766,24795.128538,14875.18
11.2,0.01,0.02,2.4,15887700.0,-2.364445,24679.163027,15079.19
11.2,0.01,0.02,2.4,16107250.0,-2.373185,24559.850543,15284.21
11.2,0.01,0.02,2.4,16321200.0,-2.381965,24438.10703,15490.35
11.2,0.01,0.02,2.4,16530240.0,-2.390808,24312.636983,15697.52
11.2,0.01,0.02,2.6,14497510.0,-2.315085,25241.340268,13890.88
11.2,0.01,0.02,2.6,14743450.0,-2.32334,25140.906722,14082.85
11.2,0.01,0.02,2.6,14983810.0,-2.331645,25037.145298,14276.02
11.2,0.01,0.02,2.6,15218890.0,-2.340009,24930.299847,14470.74
11.2,0.01,0.02,2.6,15448500.0,-2.348424,24819.648039,14666.38
11.2,0.01,0.02,2.6,15672350.0,-2.356884,24706.578005,14863.42
11.2,0.01,0.02,2.6,15890700.0,-2.36536,24590.48345,15060.83
11.2,0.01,0.02,2.6,16104110.0,-2.373908,24471.173297,15259.56
11.2,0.01,0.02,2.6,16312580.0,-2.382516,24348.081715,15459.16
11.2,0.01,0.02,2.8,14590320.0,-2.318571,25143.337829,13944.98
11.2,0.01,0.02,2.8,14829210.0,-2.326706,25040.406019,14132.51
11.2,0.01,0.02,2.8,15062220.0,-2.334875,24935.183442,14321.15
11.2,0.01,0.02,2.8,15289610.0,-2.343076,24826.543058,14510.25
11.2,0.01,0.02,2.8,15511540.0,-2.351308,24715.464625,14700.57
11.2,0.01,0.02,2.8,15728190.0,-2.359591,24601.360355,14891.65
11.2,0.01,0.02,2.8,15940040.0,-2.36793,24484.070149,15083.9
11.2,0.01,0.02,2.8,16146990.0,-2.376322,24363.60968,15277.09
11.2,0.01,0.02,3.0,14446010.0,-2.314093,25152.657093,13820.43
11.2,0.01,0.02,3.0,14683440.0,-2.322066,25051.456345,14003.07
11.2,0.01,0.02,3.0,14915370.0,-2.330076,24947.262171,14186.58
11.2,0.01,0.02,3.0,15141500.0,-2.338115,24840.267286,14370.7
11.2,0.01,0.02,3.0,15361970.0,-2.346178,24731.154352,14555.61
11.2,0.01,0.02,3.0,15577430.0,-2.354295,24618.683303,14741.57
11.2,0.01,0.02,3.0,15788120.0,-2.362454,24503.085137,14928.2
11.2,0.01,0.02,3.0,15993680.0,-2.370651,24384.526701,15115.42
11.2,0.01,0.025,1.0,14521810.0,-2.313719,25468.824892,13962.15
11.2,0.01,0.025,1.0,14790920.0,-2.322592,25370.593418,14174.4
11.2,0.01,0.025,1.0,15053760.0,-2.331501,25268.345681,14388.38
11.2,0.01,0.025,1.0,15310590.0,-2.340555,25162.181642,14605.53
11.2,0.01,0.025,1.0,15560730.0,-2.349653,25053.534182,14824.43
11.2,0.01,0.025,1.0,15804950.0,-2.358815,24941.243316,15045.03
11.2,0.01,0.025,1.0,16043810.0,-2.368068,24824.331755,15267.53
11.2,0.01,0.025,1.0,16276540.0,-2.377377,24704.445405,15491.75
11.2,0.01,0.025,1.0,16503270.0,-2.386738,24581.141402,15717.17
11.2,0.01,0.025,1.0,16724730.0,-2.396178,24453.501698,15944.03
11.2,0.01,0.025,1.0,16940610.0,-2.405687,24322.494011,16172.52
11.2,0.01,0.025,1.2,14488010.0,-2.312497,25493.469145,13939.36
11.2,0.01,0.025,1.2,14759810.0,-2.32142,25394.735165,14152.68
11.2,0.01,0.025,1.2,15024740.0,-2.330388,25293.429006,14367.82
11.2,0.01,0.025,1.2,15283250.0,-2.339452,25188.433385,14585.75
11.2,0.01,0.025,1.2,15535850.0,-2.348598,25079.388709,14805.75
11.2,0.01,0.025,1.2,15782050.0,-2.357802,24967.053372,15027.53
11.2,0.01,0.025,1.2,16021960.0,-2.367054,24851.674567,15250.76
11.2,0.01,0.025,1.2,16256230.0,-2.376383,24732.408276,15475.85
11.2,0.01,0.025,1.2,16485060.0,-2.385792,24609.288404,15702.85
11.2,0.01,0.025,1.2,16708320.0,-2.395279,24482.30869,15931.54
11.2,0.01,0.025,1.2,16926130.0,-2.404835,24351.390742,16161.58
11.2,0.01,0.025,1.4,14437540.0,-2.310888,25519.594599,13904.35
11.2,0.01,0.025,1.4,14710960.0,-2.31981,25422.452183,14118.13
11.2,0.01,0.025,1.4,14977910.0,-2.328788,25321.579178,14333.54
11.2,0.01,0.025,1.4,15238740.0,-2.337869,25216.993774,14551.93
11.2,0.01,0.025,1.4,15493060.0,-2.347023,25108.882092,14772.47
11.2,0.01,0.025,1.4,15741010.0,-2.356236,24997.263902,14994.66
11.2,0.01,0.025,1.4,15982750.0,-2.365479,24882.045965,15218.38
11.2,0.01,0.025,1.4,16218450.0,-2.374811,24763.710457,15443.89
11.2,0.01,0.025,1.4,16448550.0,-2.38422,24641.604968,15671.26
11.2,0.01,0.025,1.4,16673450.0,-2.393712,24515.113583,15900.29
